audit_id,file_path,audit_name,category,category_number,subcategory,tier,status,automatable,severity,estimated_duration,requires_runtime,requires_physical_access,requires_human_evaluation,requires_interviews,discovery,prd,task_decomposition,specification,implementation,testing,integration,deployment,post_production
security-trust.application-security.clickjacking-protection,01-security-trust/application-security/clickjacking-protection.yaml,Clickjacking Protection Audit,security-trust,01,application-security,expert,active,yes,medium,1 hour,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.application-security.content-security-policy,01-security-trust/application-security/content-security-policy.yaml,Content Security Policy Audit,security-trust,01,application-security,phd,active,partial,high,2 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.application-security.cors-policy,01-security-trust/application-security/cors-policy.yaml,CORS Policy Audit,security-trust,01,application-security,phd,active,partial,high,2 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.application-security.csrf-protection,01-security-trust/application-security/csrf-protection.yaml,CSRF Protection Audit,security-trust,01,application-security,phd,active,partial,high,2 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.application-security.file-upload-security,01-security-trust/application-security/file-upload-security.yaml,File Upload Security Audit,security-trust,01,application-security,phd,active,partial,critical,2.5 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.application-security.open-redirect,01-security-trust/application-security/open-redirect.yaml,Open Redirect Audit,security-trust,01,application-security,expert,active,partial,medium,1.5 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.application-security.security-headers,01-security-trust/application-security/security-headers.yaml,Security Headers Audit,security-trust,01,application-security,expert,active,yes,high,1 hour,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.application-security.ssrf-prevention,01-security-trust/application-security/ssrf-prevention.yaml,Server-Side Request Forgery (SSRF) Audit,security-trust,01,application-security,phd,active,partial,critical,2.5 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.application-security.subresource-integrity,01-security-trust/application-security/subresource-integrity.yaml,Subresource Integrity Audit,security-trust,01,application-security,expert,active,yes,medium,1.5 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.application-security.websocket-security,01-security-trust/application-security/websocket-security.yaml,WebSocket Security Audit,security-trust,01,application-security,phd,active,partial,high,2 hours,true,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authentication.api-key-management,01-security-trust/authentication/api-key-management.yaml,API Key Management Audit,security-trust,01,authentication,phd,active,partial,critical,3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authentication.authentication-bypass,01-security-trust/authentication/authentication-bypass.yaml,Authentication Bypass Audit,security-trust,01,authentication,phd,active,partial,critical,4 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authentication.brute-force-protection,01-security-trust/authentication/brute-force-protection.yaml,Brute Force Protection Audit,security-trust,01,authentication,phd,active,partial,high,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authentication.certificate-authentication,01-security-trust/authentication/certificate-authentication.yaml,Certificate-Based Authentication Audit,security-trust,01,authentication,phd,active,partial,high,3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authentication.credential-stuffing-resistance,01-security-trust/authentication/credential-stuffing-resistance.yaml,Credential Stuffing Resistance Audit,security-trust,01,authentication,phd,active,partial,high,3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authentication.mfa-implementation,01-security-trust/authentication/mfa-implementation.yaml,Multi-Factor Authentication Audit,security-trust,01,authentication,phd,active,partial,critical,3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authentication.oauth2-implementation,01-security-trust/authentication/oauth2-implementation.yaml,OAuth2/OIDC Implementation Audit,security-trust,01,authentication,phd,active,partial,critical,4 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authentication.password-policy,01-security-trust/authentication/password-policy.yaml,Password Policy & Storage Audit,security-trust,01,authentication,phd,active,partial,critical,3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authentication.service-account-security,01-security-trust/authentication/service-account-security.yaml,Service Account Security Audit,security-trust,01,authentication,phd,active,partial,critical,3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authentication.session-management,01-security-trust/authentication/session-management.yaml,Session Management Security Audit,security-trust,01,authentication,phd,active,partial,critical,2-4 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authentication.sso-federated-identity,01-security-trust/authentication/sso-federated-identity.yaml,SSO/Federated Identity Audit,security-trust,01,authentication,phd,active,partial,critical,4 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authentication.token-lifecycle,01-security-trust/authentication/token-lifecycle.yaml,Token Lifecycle Audit,security-trust,01,authentication,phd,active,partial,high,3 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authorization.abac-implementation,01-security-trust/authorization/abac-implementation.yaml,Attribute-Based Access Control (ABAC) Implementation Audit,security-trust,01,authorization,phd,active,partial,critical,2.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authorization.admin-access,01-security-trust/authorization/admin-access.yaml,Admin Access Audit,security-trust,01,authorization,phd,active,partial,critical,2 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
security-trust.authorization.authorization-cache,01-security-trust/authorization/authorization-cache.yaml,Authorization Cache Consistency Audit,security-trust,01,authorization,phd,active,partial,high,1.5 hours,false,false,false,false,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
